11490 (20484.57, 106.1729, 19972, 20901)
11550 (20491.35, 99.06061, 20036, 20933)
11611 (20491.5, 102.2016, 19780, 20853)
11671 (20488.78, 103.324, 20068, 20821)
11731 (20494.98, 101.5457, 20036, 20837)
11791 (20497.04, 106.2298, 20068, 21061)
11851 (20497.25, 110.7884, 20004, 21157)
11911 (20497.04, 115.5648, 19924, 21141)
11972 (20505.18, 112.2466, 20052, 21269)
12032 (20508.5, 96.00932, 20116, 20933)
12092 (20508.46, 104.115, 20068, 20917)
12152 (20504.66, 104.9975, 20052, 20949)
12212 (20506.49, 109.0677, 20036, 21317)
12272 (20513.19, 101.0646, 19940, 21029)
12333 (20505.06, 105.2646, 19860, 20885)
12393 (20519.24, 93.73719, 20100, 20917)
12453 (20512.37, 96.94298, 19780, 20837)
12513 (20516.3, 103.6168, 19940, 21077)
12573 (20513.46, 102.0774, 20084, 20965)
12633 (20510.01, 104.2644, 20052, 20837)
12693 (20516.59, 108.7494, 19748, 21141)
12754 (20522.76, 104.1782, 19860, 21189)
12814 (20520.28, 95.1507, 20116, 20821)
12874 (20521.9, 102.767, 19780, 20997)
12934 (20528.99, 97.35048, 20036, 20933)
12994 (20517.62, 101.5789, 20132, 21029)
13054 (20520.78, 102.8772, 20004, 20885)
13115 (20523.82, 94.07149, 20100, 20853)
13175 (20516.5, 98.91665, 20052, 20949)
13235 (20519.42, 104.5334, 20036, 20965)
13295 (20519.96, 97.69544, 20068, 20965)
13355 (20526.13, 104.6979, 20084, 21061)
13415 (20521.69, 113.1541, 19892, 21285)
13476 (20525.97, 102.2755, 20052, 20949)
13536 (20531.82, 105.6805, 20100, 21061)
13596 (20527.75, 105.7352, 19972, 20869)
13656 (20534.7, 93.1105, 20132, 20933)
13716 (20529.38, 104.1109, 20036, 20933)
13776 (20528.85, 107.2359, 19780, 21125)
13836 (20527.08, 106.3238, 20052, 21125)
13897 (20539.11, 103.1515, 20004, 21077)
13957 (20533.05, 111.7882, 20100, 21221)
14017 (20539.01, 99.3508, 19940, 21061)
14077 (20534.59, 114.2785, 19812, 21317)
14137 (20527.36, 117.2372, 19844, 20997)
14197 (20538.36, 116.8557, 20068, 21205)
14258 (20539.63, 103.5795, 20148, 21029)
14318 (20536.18, 110.9661, 20020, 21157)
14378 (20546.07, 101.6326, 20100, 20965)
14438 (20547.81, 103.9925, 20100, 21125)
14498 (20552.2, 104.1434, 19956, 21013)
14558 (20550.26, 105.5312, 19684, 20933)
14619 (20552.59, 104.9414, 20132, 21093)
14679 (20562.73, 107.661, 19924, 21141)
14739 (20559.2, 101.5876, 20020, 20965)
14799 (20552.67, 112.5328, 20084, 21221)
14859 (20553.7, 114.6496, 20036, 21093)
14919 (20554.19, 105.02, 20084, 21189)
14979 (20570.05, 102.1907, 19796, 20869)
15040 (20561.01, 95.28463, 20116, 20965)
15100 (20570.81, 105.2662, 19988, 21061)
15160 (20561.54, 106.468, 20148, 21013)
15220 (20574.47, 104.3989, 20116, 21189)
15280 (20563.96, 95.25456, 20116, 20901)
15340 (20570.51, 108.2635, 20132, 21253)
15401 (20568.4, 109.6366, 20132, 21157)
15461 (20577.52, 107.0814, 19972, 21205)
15521 (20569.36, 97.72751, 19908, 20917)
15581 (20560.97, 112.4849, 20036, 21029)
15641 (20571.77, 103.8165, 20052, 21221)
15701 (20572.97, 97.28935, 20036, 20917)
15762 (20575.73, 98.24737, 19940, 20885)
15822 (20570.76, 119.6036, 19716, 21285)
15882 (20571.56, 102.7714, 20068, 20917)
15942 (20577.11, 104.8727, 19956, 20933)
16002 (20575.25, 98.43382, 20132, 21141)
16062 (20574.65, 105.6062, 20052, 21221)
16122 (20579.78, 101.4809, 20148, 21285)
16183 (20580.52, 97.25156, 20164, 21029)
16243 (20575.38, 107.7785, 19972, 21253)
16303 (20577.78, 100.0746, 20180, 20965)
16363 (20580.9, 105.7213, 20100, 20933)
16423 (20580.31, 115.2346, 20132, 20981)
16483 (20587.07, 104.2883, 19956, 21189)
16544 (20590.03, 112.0808, 20068, 21141)
16604 (20594.4, 103.1339, 20004, 21045)
16664 (20592.95, 95.62152, 20132, 21125)
16724 (20591.66, 104.3437, 20132, 20997)
16784 (20592.6, 111.8839, 19764, 21237)
16844 (20593.96, 103.0385, 20148, 21061)
16905 (20596.77, 107.2428, 20004, 20997)
16965 (20599.41, 103.9298, 19940, 21173)
17025 (20598.59, 102.0428, 19908, 21237)
17085 (20597.68, 116.4751, 20052, 21397)
17145 (20595.21, 101.8219, 19956, 20949)
17205 (20601.41, 112.9786, 19924, 20965)
17265 (20597.37, 110.1516, 19860, 21253)
17326 (20595.04, 102.963, 20164, 21013)
17386 (20603.85, 110.5689, 19844, 21141)
